Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.8-205.174.165.73-2868-8080-6,192.168.10.8,2868,205.174.165.73,8080,6,7/7/2017 10:37,9,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,1333333.333,222222.2222,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,111111.1111,111111.1111,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,16393,237,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.5-205.174.165.73-52328-8080-6,192.168.10.5,52328,205.174.165.73,8080,6,7/7/2017 12:30,998624,3,3,0,18.0,0,0,0.0,0.0,6,6,6.0,0.0,18.02480213,6.008267376,199724.8,272772.1379,501465.0,427.0,998141.0,499070.5,3990.203566,501892.0,496249.0,998197.0,499098.5,4291.431055,502133.0,496064.0,0,0,0,0,92,60,3.004133688,3.004133688,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-4182-8080-6,205.174.165.73,8080,192.168.10.9,4182,6,7/7/2017 10:45,33,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,363636.3636,60606.06061,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,30303.0303,30303.0303,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.8-205.174.165.73-2973-8080-6,205.174.165.73,8080,192.168.10.8,2973,6,7/7/2017 10:48,53,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,226415.0943,37735.84906,53.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,18867.92453,18867.92453,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,1255,16393,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.14-205.174.165.73-51755-8080-6,205.174.165.73,8080,192.168.10.14,51755,6,7/7/2017 10:45,19,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,631578.9474,105263.1579,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,52631.57895,52631.57895,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.19-74.121.138.87-51589-80-6,74.121.138.87,80,192.168.10.19,51589,6,7/7/2017 10:39,22,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,67,245,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.5-205.174.165.73-53724-8080-6,192.168.10.5,53724,205.174.165.73,8080,6,7/7/2017 10:43,114785,4,3,852,134.0,840,0,213.0,418.0095693,128,0,44.66666667,72.23111056,8589.972557,60.98357799,19130.83333,45843.24571,112706.0,40.0,114785.0,38261.66667,65587.08802,113994.0,40.0,113329.0,56664.5,79254.64936,112706.0,623.0,0,0,0,0,92,72,34.84775885,26.13581914,0,840,123.25,292.908445,85795.35714,0,0,0,1,0,0,0,0,0,140.8571429,213.0,44.66666667,92,0,0,0,0,0,0,4,852,3,134,8192,242,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.3-192.168.10.8-53-61918-17,192.168.10.8,61918,192.168.10.3,53,17,7/7/2017 11:24,63635,2,2,76,160.0,38,38,38.0,0.0,80,80,80.0,0.0,3708.6509,62.85848982,21211.66667,36737.95233,63633.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,31.42924491,31.42924491,38,80,54.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,68.5,38.0,80.0,40,0,0,0,0,0,0,2,76,2,160,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.15-205.174.165.73-52346-8080-6,192.168.10.15,52346,205.174.165.73,8080,6,7/7/2017 10:33,2,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,6000000.0,1000000.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,500000.0,500000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
151.101.128.166-192.168.10.5-443-51819-6,151.101.128.166,443,192.168.10.5,51819,6,7/7/2017 12:17,1163,3,0,43,0.0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,36973.3448,2579.535684,581.5,818.1225458,1160.0,3.0,1163.0,581.5,818.1225458,1160.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,2579.535684,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,60,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.9-23.194.141.179-3937-443-6,23.194.141.179,443,192.168.10.9,3937,6,7/7/2017 10:43,454,3,1,43,6.0,31,6,14.33333333,14.43375673,6,6,6.0,0.0,107929.5154,8810.572687,151.3333333,159.879121,320.0,2.0,322.0,161.0,224.8599564,320.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,6607.929515,2202.643172,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,985,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.19-53-3601-17,192.168.10.19,3601,192.168.10.3,53,17,7/7/2017 10:21,210,2,2,76,212.0,38,38,38.0,0.0,106,106,106.0,0.0,1371428.571,19047.61905,70.0,80.29321266,159.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,40,40,9523.809524,9523.809524,38,106,65.2,37.24513391,1387.2,0,0,0,0,0,0,0,0,1,81.5,38.0,106.0,40,0,0,0,0,0,0,2,76,2,212,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-61859-17,192.168.10.3,61859,192.168.10.1,53,17,7/7/2017 9:10,37305,1,1,64,149.0,64,64,64.0,0.0,149,149,149.0,0.0,5709.69039,53.61211634,37305.0,0.0,37305.0,37305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,26.80605817,26.80605817,64,149,92.33333333,49.07477288,2408.333333,0,0,0,0,0,0,0,0,1,138.5,64.0,149.0,32,0,0,0,0,0,0,1,64,1,149,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.217.6.234-192.168.10.15-80-49598-6,172.217.6.234,80,192.168.10.15,49598,6,7/7/2017 9:10,62,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,193548.3871,32258.06452,62.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,16129.03226,16129.03226,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,335,258,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.15-205.174.165.73-52715-8080-6,192.168.10.15,52715,205.174.165.73,8080,6,7/7/2017 10:35,83202,4,3,207,134.0,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4098.459172,84.13259297,13867.0,32831.81331,80881.0,21.0,83202.0,27734.0,47260.08287,82303.0,21.0,81595.0,40797.5,56686.62933,80881.0,714.0,0,0,0,0,92,72,48.07576741,36.05682556,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-4194-8080-6,205.174.165.73,8080,192.168.10.9,4194,6,7/7/2017 10:46,52,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,230769.2308,38461.53846,52.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,19230.76923,19230.76923,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
129.146.14.97-192.168.10.9-443-6345-6,192.168.10.9,6345,129.146.14.97,443,6,7/7/2017 12:02,140,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,85714.28571,14285.71429,140.0,0.0,140.0,140.0,140.0,140.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,14285.71429,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.15-205.174.165.73-52325-8080-6,205.174.165.73,8080,192.168.10.15,52325,6,7/7/2017 10:30,16,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,750000.0,125000.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,62500.0,62500.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.14-205.174.165.73-51592-8080-6,205.174.165.73,8080,192.168.10.14,51592,6,7/7/2017 10:25,10,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,1200000.0,200000.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,100000.0,100000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
162.125.4.5-192.168.10.15-443-52136-6,192.168.10.15,52136,162.125.4.5,443,6,7/7/2017 10:07,116473123,13,12,652,4655.0,197,0,50.15384615,67.35830332,1460,0,387.9166667,609.8140489,45.5641599,0.214641793,4853046.792,16400000.0,58100000.0,3.0,116000000.0,9706093.583,22600000.0,58100000.0,2566.0,116000000.0,10600000.0,23500000.0,58200000.0,3.0,0,0,0,0,272,252,0.111613733,0.103028061,0,1460,204.1153846,442.7307378,196010.5062,0,0,0,1,0,0,0,0,0,212.28,50.15384615,387.9166667,272,0,0,0,0,0,0,13,652,12,4655,8192,61,12,20,135226.0,87838.21857,197337.0,73115.0,58100000.0,105133.3433,58100000.0,58000000.0,BENIGN
192.168.10.15-205.174.165.73-52339-8080-6,205.174.165.73,8080,192.168.10.15,52339,6,7/7/2017 10:32,66,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,181818.1818,30303.0303,66.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,15151.51515,15151.51515,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.8-205.174.165.73-2886-8080-6,205.174.165.73,8080,192.168.10.8,2886,6,7/7/2017 10:38,20,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,600000.0,100000.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,50000.0,50000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,16393,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.14-205.174.165.73-53027-8080-6,192.168.10.14,53027,205.174.165.73,8080,6,7/7/2017 12:19,1020376,3,3,0,18.0,0,0,0.0,0.0,6,6,6.0,0.0,17.64055603,5.880185343,204075.2,278705.0865,512010.0,522.0,1019824.0,509912.0,3705.239533,512532.0,507292.0,1019823.0,509911.5,3748.373047,512562.0,507261.0,0,0,0,0,92,60,2.940092672,2.940092672,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.8-205.174.165.73-2912-8080-6,192.168.10.8,2912,205.174.165.73,8080,6,7/7/2017 10:42,99033,4,3,210,134.0,198,0,52.5,97.04122835,128,0,44.66666667,72.23111056,3473.589612,70.68350954,16505.5,39549.19793,97233.0,3.0,99033.0,33011.0,56593.15062,98358.0,3.0,97810.0,48905.0,68346.11304,97233.0,577.0,0,0,0,0,92,72,40.39057688,30.29293266,0,198,43.0,76.44232186,5843.428571,0,0,0,1,0,0,0,0,0,49.14285714,52.5,44.66666667,92,0,0,0,0,0,0,4,210,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.16-24.86.68.24-123-123-17,192.168.10.16,123,24.86.68.24,123,17,7/7/2017 9:09,63093626,5,5,240,240.0,48,48,48.0,0.0,48,48,48.0,0.0,7.607741549,0.158494616,7010402.889,18700000.0,56900000.0,102077.0,63000000.0,15700000.0,27500000.0,57000000.0,1995254.0,63000000.0,15700000.0,27500000.0,57000000.0,1996342.0,0,0,0,0,136,124,0.079247308,0.079247308,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,52.8,48.0,48.0,136,0,0,0,0,0,0,5,240,5,240,-1,-1,4,20,6096250.0,0.0,6096250.0,6096250.0,56900000.0,0.0,56900000.0,56900000.0,BENIGN
192.168.10.12-23.50.75.27-46254-80-6,192.168.10.12,46254,23.50.75.27,80,6,7/7/2017 9:17,5918162,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.67588552,1972720.667,3396630.591,5894789.0,95.0,5918162.0,2959081.0,4151718.069,5894789.0,23373.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,40,0.50691414,0.16897138,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
173.241.242.220-192.168.10.12-443-54154-6,192.168.10.12,54154,173.241.242.220,443,6,7/7/2017 9:46,173,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,69364.16185,11560.69364,173.0,0.0,173.0,173.0,173.0,173.0,0.0,173.0,173.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,11560.69364,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,336,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.5-205.174.165.73-50621-8080-6,192.168.10.5,50621,205.174.165.73,8080,6,7/7/2017 11:37,1003027,3,3,0,18.0,0,0,0.0,0.0,6,6,6.0,0.0,17.94567843,5.98189281,200605.4,273977.4912,506153.0,409.0,1002430.0,501215.0,7853.127912,506768.0,495662.0,1002412.0,501206.0,7574.52784,506562.0,495850.0,0,0,0,0,92,60,2.990946405,2.990946405,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.5-104.97.137.120-50439-443-6,104.97.137.120,443,192.168.10.5,50439,6,7/7/2017 11:19,7446,3,1,43,6.0,31,6,14.33333333,14.43375673,6,6,6.0,0.0,6580.714478,537.2011818,2482.0,4245.348867,7384.0,3.0,7387.0,3693.5,5219.155152,7384.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,20,402.9008864,134.3002955,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,980,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
